temperatura,humedad,radiacion,hora
27.27,26.94,1040,0:00:02
27.26,26.86,1036,0:00:06
27.26,26.59,1040,0:00:02
27.26,26.51,1035,0:00:06
27.27,26.41,1037,0:00:10
27.26,26.47,1039,0:00:14
27.26,26.47,1038,0:00:18
27.29,28.04,1034,0:00:02
27.32,29.07,1037,0:00:06
27.25,28.15,1037,0:00:10
27.22,28.04,1037,0:00:14
27.16,28.21,1039,0:00:18
27.12,28.01,1033,0:00:22
27.11,28.05,1040,0:00:26
27.07,28.13,1039,0:00:30
27.02,28.26,1039,0:00:34
26.98,28.02,1036,0:00:38
26.96,27.95,1023,0:00:42
26.93,27.82,1040,0:00:46
26.91,27.8,1042,0:00:50
26.89,27.72,1039,0:00:54
26.86,27.84,1037,0:00:58
26.82,28.04,1040,0:01:02
26.78,28.11,1035,0:01:06
26.77,27.86,1037,0:01:10
26.75,27.65,1041,0:01:14
26.73,27.65,1042,0:01:18
26.71,27.71,1040,0:01:22
26.68,27.67,1071,0:01:26
26.66,27.64,1050,0:01:30
26.65,27.57,1107,0:01:34
26.64,27.47,1121,0:01:38
26.6,27.63,1130,0:01:42
26.59,27.75,1038,0:01:46
26.56,28.48,1035,0:01:50
26.14,28.34,1040,0:00:02
26.13,27.88,1152,0:00:06
26.12,28.29,1107,0:00:10
26.11,28.62,1072,0:00:14
26.12,28.74,1088,0:00:18
26.12,28.88,1043,0:00:22
26.12,28.91,1079,0:00:26
26.1,28.94,1095,0:00:30
26.1,28.94,1148,0:00:34
26.11,29.06,1072,0:00:38
26.1,29.15,1115,0:00:42
26.1,29.21,1061,0:00:46
26.09,29.2,1141,0:00:50
26.09,29.07,1047,0:00:54
26.09,28.95,1039,0:00:58
26.08,28.77,1040,0:01:02
26.09,28.57,1042,0:01:06
26.08,28.58,1042,0:01:10
26.08,28.5,1033,0:01:14
26.07,28.55,877,0:01:18
26.07,28.53,1040,0:01:22
26.06,28.55,1036,0:01:26
26.57,27.44,1049,0:00:02
26.57,27.45,1049,0:00:06
26.57,27.47,1041,0:00:10
26.59,27.51,1047,0:00:14
26.59,27.44,1039,0:00:18
26.59,27.37,1042,0:00:22
26.61,27.32,1047,0:00:26
26.62,27.32,1041,0:00:30
26.62,27.29,1056,0:00:34
26.63,27.22,1071,0:00:38
26.64,27.2,1049,0:00:42
26.62,27.19,1051,0:00:46
26.64,27.19,1155,0:00:50
26.65,27.15,1165,0:00:54
26.66,27.19,1149,0:00:58
26.66,27.15,1167,0:01:02
26.67,27.19,1065,0:01:06
26.69,27.16,1173,0:01:10
26.69,27.17,1126,0:01:14
26.7,27.21,1062,0:01:18
26.71,27.22,1121,0:01:22
26.72,27.26,1119,0:01:26
26.73,27.31,1068,0:01:30
26.72,27.36,1137,0:01:34
26.73,27.44,1158,0:01:38
26.76,27.48,1158,0:01:42
26.75,27.48,1165,0:01:46
26.75,27.55,1065,0:01:50
26.75,27.58,1124,0:01:54
26.76,27.61,1085,0:01:58
26.77,27.59,1104,0:02:02
26.78,27.63,1109,0:02:06
26.78,27.63,1136,0:02:10
26.79,27.64,1134,0:02:14
26.79,27.62,1118,0:02:18
26.8,27.51,1157,0:02:22
26.79,27.33,1249,0:02:26
26.8,27.26,1168,0:02:30
26.8,27.13,1135,0:02:34
26.81,27.14,1167,0:02:38
26.83,27.16,1154,0:02:42
26.81,27.18,1166,0:02:46
26.83,27.22,1168,0:02:50
26.83,27.24,1147,0:02:54
26.85,27.26,1056,0:02:58
26.84,27.26,1139,0:03:02
26.85,27.22,1104,0:03:06
26.87,27.21,1159,0:03:10
26.87,27.14,1159,0:03:14
26.87,27.16,1104,0:03:18
26.87,27.16,1110,0:03:22
26.89,27.12,1153,0:03:26
26.88,27.11,1053,0:03:30
26.89,27.15,1156,0:03:35
26.91,27.14,1043,0:03:39
26.89,27.16,1089,0:03:43
26.92,27.13,1130,0:03:47
26.93,27.2,1157,0:03:51
26.94,27.24,1134,0:03:55
26.93,27.19,1045,0:03:59
26.93,27.2,1152,0:04:03
26.95,27.2,1153,0:04:07
26.96,27.16,1171,0:04:11
26.95,27.16,1049,0:04:15
26.97,27.05,1153,0:04:19
26.97,26.99,1090,0:04:23
26.97,26.97,1143,0:04:27
26.95,26.93,1153,0:04:31
26.96,27.01,1138,0:04:35
26.95,26.96,1095,0:04:39
26.98,26.92,1155,0:04:43
26.99,26.87,1120,0:04:47
26.97,26.83,1071,0:04:51
26.99,26.75,1157,0:04:55
27,26.71,1143,0:04:59
27.01,26.76,1153,0:05:03
27,26.74,1154,0:05:07
27,26.76,1153,0:05:11
27.01,26.79,1142,0:05:15
27.02,26.77,1137,0:05:19
27.02,26.73,1072,0:05:23
27.03,26.83,1098,0:05:27
27.05,26.8,1123,0:05:31
27.05,26.84,1134,0:05:35
27.05,26.89,1156,0:05:39
27.05,26.82,1145,0:05:43
27.06,26.85,1135,0:05:47
27.06,26.86,1114,0:05:51
27.08,26.88,1146,0:05:55
27.08,26.88,1157,0:05:59
27.09,26.88,1165,0:06:03
27.09,26.87,1158,0:06:07
27.1,26.85,1122,0:06:11
27.1,26.85,1135,0:06:15
27.12,26.86,1142,0:06:19
27.13,26.77,1076,0:06:23
27.13,26.83,1008,0:06:27
27.11,26.8,1041,0:06:31
27.14,26.87,1063,0:06:35
27.15,26.8,1150,0:06:39
27.17,26.79,1155,0:06:43
27.16,26.8,1143,0:06:47
27.17,26.79,1154,0:06:51
27.19,26.74,1035,0:06:55
27.21,26.67,1040,0:06:59
27.19,26.58,1069,0:07:03
27.2,26.55,1087,0:07:07
27.2,26.48,1120,0:07:11
27.23,26.45,1133,0:07:15
27.22,26.41,1142,0:07:19
27.23,26.4,1139,0:07:23
27.24,26.34,1151,0:07:27
27.24,26.3,1152,0:07:31
27.25,26.27,1147,0:07:35
27.25,26.28,1053,0:07:40
27.28,26.19,1135,0:07:44
27.27,26.21,1094,0:07:48
27.28,26.19,1143,0:07:52
27.29,26.29,1151,0:07:56
27.29,26.33,1147,0:08:00
27.3,26.26,1150,0:08:04
27.3,26.26,1140,0:08:08
27.3,26.23,1086,0:08:12
27.31,26.2,1088,0:08:16
27.31,26.19,1157,0:08:20
27.31,26.2,1149,0:08:24
27.34,26.22,1095,0:08:28
27.33,26.24,1119,0:08:32
27.34,26.32,1135,0:08:36
27.35,26.41,1149,0:08:40
27.36,26.32,1151,0:08:44
27.36,26.34,1152,0:08:48
27.37,26.35,1144,0:08:52
